soil,median_soil_toc_combustion,median_soil_total_c_combustion,median_som_loi_percent_wt_loss,median_ca_co3_content,median_som_walkley_black,median_p_h_1_1_water,mad_soil_toc_combustion,mad_soil_total_c_combustion,mad_som_loi_percent_wt_loss,mad_ca_co3_content,mad_som_walkley_black,mad_p_h_1_1_water
Soil.2013.113,2.77,3.01,5.1,2.33,4.31,7.17,0.085,0.079,0.25,0.304,0.38,0.07
Soil.2013.114,1.78,1.85,4.37,1.99,2.52,7.44,0.14,0.055,0.525,0.405,0.32,0.065
Soil.2013.115,0.935,0.974,2.23,0.36,1.5,6.53,0.04,0.032,0.17,0.051,0.14,0.06
Soil.2013.116,1.88,1.88,3.5,0.62,3.2,6.75,0.095,0.075,0.2,0.32,0.3,0.065
Soil.2013.117,0.702,0.727,1.73,0.57,1.33,7.34,0.016,0.026,0.14,0.118,0.13,0.07
Soil.2013.118,0.994,0.98,2.22,0.485,1.61,6.5,0.03,0.032,0.13,0.088,0.152,0.06
Soil.2013.119,1.21,1.23,2.42,0.78,2.1,6.9,0.083,0.046,0.12,0.158,0.13,0.085
Soil.2013.120,2.76,5.65,2.68,15,2.27,8.05,0.352,0.1,0.22,2.03,0.27,0.105
Soil.2012.101,3.1,4.06,4.87,12.1,4.03,7.74,0.64,0.12,0.315,0.91,0.448,0.11
Soil.2012.102,0.65,0.649,1.81,0.5,1.04,5.54,0.052,0.023,0.115,0.102,0.13,0.066
Soil.2012.103,0.64,0.8,1.25,1.7,1.13,7.7,0.082,0.041,0.12,0.31,0.08,0.1
Soil.2012.104,1.1,1.08,2.52,0.5,1.76,5.55,0.055,0.02,0.215,0.075,0.155,0.05
Soil.2012.105,1.06,1.05,2.17,0.47,1.74,5.62,0.06,0.045,0.155,0.087,0.13,0.07
Soil.2012.106,0.45,0.425,0.88,0.255,0.71,5.24,0.024,0.032,0.08,0.056,0.09,0.08
Soil.2012.107,1.09,1.09,2.5,0.6,1.71,5.52,0.038,0.022,0.2,0.149,0.19,0.08
Soil.2012.108,2.5,2.48,4.41,1.1,4.11,7.4,0.041,0.066,0.205,0.185,0.27,0.095
Soil.2012.109,2.77,2.9,4.4,3.41,4.1,7.63,0.123,0.079,0.275,0.845,0.245,0.075
Soil.2012.110,0.528,0.517,1.3,0.44,0.85,6.34,0.038,0.026,0.17,0.108,0.072,0.1
Soil.2012.111,1.1,1.07,2.52,0.56,1.78,5.55,0.077,0.026,0.22,0.114,0.17,0.07
Soil.2012.112,1.47,1.98,1.91,9.1,1.64,7.74,0.144,0.072,0.148,0.5,0.127,0.12
Soil.2012.113,2.66,2.65,5.1,0.61,4.04,5.95,0.18,0.084,0.3,0.128,0.395,0.095
Soil.2012.114,0.6,0.59,1.08,0.3,1.1,6.2,0.119,0.02,0.075,0.053,0.113,0.1
Soil.2012.115,0.587,0.548,0.9,0.3,0.97,7.1,0.067,0.058,0.11,0.05,0.17,0.1
